idstudy;authors;last1;first1;last2;first2;last3;first3;last4;first4;nb_authors;authors_duplicate_stud;title;year;month;ref_journal;journal;field_pub;account_journal;finance_journal;law_journal;business_journal;cross_discipl;scopus_journal_2018;cite_score_year_2018;cite_score_year_2011_18;repec_journals_if_may2020;nb_citations_google_scholar;nb_pages;only1_country;country;region;america;eu;asia;only_usa;china;emg;rule_of_law;common_law;gni_capita_usd;log_gni_capita;log_gdp_capita;fraser_regul;fraser_regul_cred;credit%gdp;mkt_cap_gdp;nb_listed_firms;log_nb_listed_firms;pop;log_list_firm_pop;mkt_liquidity;val_traded_stks;traded_stks_gdp;nom_gdp;log_nom_gdp;trust_wvs;conf_gov_wvs;justice_wvs;begining_period;end_period;avg_year_data;nb_years_data;event;specific_event;accounting_fraud;operational_fraud;reg_secur_fraud;only_account;only_reg_secur_laws;reg_secur_laws_incl_account;source_press;source_firm;source_reg;alleged_fraud;investigation;regulatory_proc;stock_mkt_proc;class_action;lawsuits;settlements;accounting_restatement;verdict_sanction;estimation_window_y;estimation_window;start_estim_w;end_estim_w;event_window;start_event_w;end_event_w;length_event_w;data_type;methodology;model;mkt_model;source_crsp;market_index;mkt_index_val_weight;main_sector;main_sect_indus;main_sect_financ;initial_sample_size;sample_size;confound_event_y;initial_sample_size_y;nb_ests_perstudy;caar;event_w_begin;event_w_end;exotic_ew;before_event0;event0;after_event0;coef_impact;coef_impact_day;signif;level_signif;star_y;t_stat_y;z_stat_y;p_val_y;other_stat_y;t_stat;t_stat_wcs;p_val;z_stat;standard_error;standard_error_wcs;standard_error_wcs_day;standard_dev;lt_caar;cross_sectional_reg;reputational_estimate;before_event;before_incl_event;EC;after_incl_event;around_event;around_ev_+-;after_event;nb_ests_perstudy_usa;nb_ests_perstudy_nonusa;nb_ests_perstudy_account;nb_ests_perstudy_nonaccount;only_star
1;Feroz, Park, Pastena (1991);Feroz;EH;Park;K;Pastena;VS;0;0;3;0;The Financial and Market Effects of the SEC's Accounting and Auditing Enforcement Releases;1991;1;1;Journal of accounting research;accounting;1;0;0;0;0;1;6.23;4.34;0.277;826;36;1;US;a;1;0;0;1;0;0;1.500219;1;18285;9.813836331;2.926165412;8.098006041;9.466132799;82.82149998;54.22284199;6420;8.767173397;239.0285;3.290590605;74.90021623;1825.25125;0.409312942;4459.305;8.402748203;44.1;25.1;34.7;1982;1989;1985.5;8;Accounting and auditing enforcement releases of SEC (i.e. publication of an AAER misstatement announcement);Settlements of investigations;1;0;0;1;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;na;0;0;"[-9;+5]";-9;5;15;Daily stock returns (adjusted for dividends and stocksplits);Event study;Market model;1;1;CRSP index;0;na;0;0;224;33;0;1;11;AAR[+1];1;1;0;0;0;1;0.008;0.008;0;0;1;0;0;0;0;0.95;0.95;0;0;0;0.008421053;0.008421053;0;0;1;0;0;0;0;0;0;0;1;11;0;11;0;1
2;Nourayi (1994);Nourayi;MM;0;0;0;0;0;0;1;0;Stock Price Responses to the SEC's Enforcement Actions;1994;2;1;Journal of Accounting and Public Policy;accounting;1;0;0;0;1;1;3.41;1.82;5.668;61;15;1;US;a;1;0;0;1;0;0;1.500219;1;13870;9.537483513;2.872549122;8.120618526;9.51618285;75.39973997;43.49487857;5377;8.589885877;228.3455;3.159026044;69.18292228;1108.4209;0.274523809;4037.613;8.303408955;44.1;25.1;34.7;1977;1984;1980.5;8;SEC litigation releases (enforcement actions of US NYSE and ASE listed companies). Announcement of investigation;All;1;0;1;0;0;1;0;0;1;1;1;1;0;0;0;0;0;0;1;"[-240;-15]";-240;-15;"[-1;+1]";-1;1;3;Daily stock returns;Event study;Market model;1;0;na;1;na;0;0;916;82;1;1;4;"CAAR[-1;+1]";-1;1;0;1;1;1;-0.00621;-0.00207;1;0.01;1;0;0;0;0;-5.268;-5.268;0;0;0;0.001178815;0.000392938;0;0;0;0;0;0;0;0;1;1;0;4;0;0;4;1
2;Nourayi (1994);Nourayi;MM;0;0;0;0;0;0;1;0;Stock Price Responses to the SEC's Enforcement Actions;1994;2;1;Journal of Accounting and Public Policy;accounting;1;0;0;0;1;1;3.41;1.82;5.668;61;15;1;US;a;1;0;0;1;0;0;1.500219;1;13870;9.537483513;2.872549122;8.120618526;9.51618285;75.39973997;43.49487857;5377;8.589885877;228.3455;3.159026044;69.18292228;1108.4209;0.274523809;4037.613;8.303408955;44.1;25.1;34.7;1977;1984;1980.5;8;0;Procedural (possible fraud);0;0;1;0;1;0;0;0;1;1;1;1;0;0;0;0;0;0;1;"[-240;-15]";-240;-15;"[-1;+1]";-1;1;3;Daily stock returns;Event study;Market model;1;0;na;1;na;0;0;916;57;1;1;4;"CAAR[-1;+1]";-1;1;0;1;1;1;-0.00576;-0.00192;1;0.05;1;0;0;0;0;0;-1.96;0;0;0;0.002938776;0.000979592;0;0;0;0;0;0;0;0;1;1;0;4;0;0;4;1
2;Nourayi (1994);Nourayi;MM;0;0;0;0;0;0;1;0;Stock Price Responses to the SEC's Enforcement Actions;1994;2;1;Journal of Accounting and Public Policy;accounting;1;0;0;0;1;1;3.41;1.82;5.668;61;15;1;US;a;1;0;0;1;0;0;1.500219;1;13870;9.537483513;2.872549122;8.120618526;9.51618285;75.39973997;43.49487857;5377;8.589885877;228.3455;3.159026044;69.18292228;1108.4209;0.274523809;4037.613;8.303408955;44.1;25.1;34.7;1977;1984;1980.5;8;0;Inadequate SEC-required disclosures (information);0;0;1;0;1;0;0;0;1;1;1;1;0;0;0;0;0;0;1;"[-240;-15]";-240;-15;"[-1;+1]";-1;1;3;Daily stock returns;Event study;Market model;1;0;na;1;na;0;0;916;10;1;1;4;"CAAR[-1;+1]";-1;1;0;1;1;1;-0.0118;-0.003933333;1;0.05;1;0;0;0;0;0;-1.96;0;0;0;0.006020408;0.002006803;0;0;0;0;0;0;0;0;1;1;0;4;0;0;4;1
2;Nourayi (1994);Nourayi;MM;0;0;0;0;0;0;1;0;Stock Price Responses to the SEC's Enforcement Actions;1994;2;1;Journal of Accounting and Public Policy;accounting;1;0;0;0;1;1;3.41;1.82;5.668;61;15;1;US;a;1;0;0;1;0;0;1.500219;1;13870;9.537483513;2.872549122;8.120618526;9.51618285;75.39973997;43.49487857;5377;8.589885877;228.3455;3.159026044;69.18292228;1108.4209;0.274523809;4037.613;8.303408955;44.1;25.1;34.7;1977;1984;1980.5;8;0;Erroneous application of GAAP (accounting & control);1;0;0;1;0;0;0;0;1;1;1;1;0;0;0;0;0;0;1;"[-240;-15]";-240;-15;"[-1;+1]";-1;1;3;Daily stock returns;Event study;Market model;1;0;na;1;na;0;0;916;15;1;1;4;"CAAR[-1;+1]";-1;1;0;1;1;1;-0.00511;-0.001703333;1;0.1;1;0;0;0;0;0;-1.645;0;0;0;0.003106383;0.001035461;0;0;0;0;0;0;0;0;1;1;0;4;0;4;0;1
3;Dechow, Sloane, Sweeney (1996);Dechow;PM;Sloane;RG;Sweeney;AP;0;0;3;0;Causes and Consequences of Earnings Manipulation: An Analysis of Firms Subject to Enforcement Actions by the SEC;1996;4;1;Contemporary Accounting Research;accounting;1;0;0;0;0;1;3.02;2.51;0.355;5007;36;1;US;a;1;0;0;1;0;0;1.500219;1;21390;9.970678802;2.997677435;8.167704958;9.554554555;85.56566496;52.14532621;7001;8.853808275;242.289;3.363677046;113.6346079;2876.9643;0.59255137;4855.215;8.487808664;47.05;25.1;40.7;1982;1992;1987;11;Accounting enforcement actions by the SEC for alleged violations of GAAP. Earning manipulations investigated by the SEC (i.e. publication of an AAER misstatement announcement by the SEC). Most frequently overstatement of revenues;Initial announcement of alleged earnings manipulation (AAER);1;0;0;1;0;0;0;0;1;1;1;1;0;0;0;0;0;0;1;"[-120;-1]";-120;-1;0;0;0;1;Daily stock returns;Daily event study;Market adjusted model. Average market adjusted stock retum on the announcement day;0;1;CRSP value-weighted-with-dividends index;1;Computer equipment, business services;0;0;436;78;0;1;1;AAR[0];0;0;0;0;1;0;-0.088;-0.088;1;0.01;1;0;0;0;0;0;-2.576;0;0;0;0.034161491;0.034161491;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;1
4;Bhagat, Bizjak, Coles (1998);Bhagat;S;Bizjak;J;Coles;JL;0;0;3;0;The Shareholder Wealth Implications of Corporate Lawsuits;1998;10;1;Financial Management ;finance;0;1;0;1;1;1;1.85;1.72;0.173;243;23;1;US;a;1;0;0;1;0;0;1.500219;1;14220;9.562404703;2.858120909;8.109312284;9.491157824;75.92671069;43.5692922;5430;8.599694413;231.664;3.154406367;69.18292228;1108.4209;0.274523809;4037.613;8.303408955;44.1;25.1;34.7;1981;1983;1982;3;First reported announcement (in WSJ) of lawsuit filing by a governement agency against a listed company;Defendent for SEC-type suits filling announcement;0;0;1;0;1;0;1;0;0;1;0;1;0;0;1;0;0;0;1;"[-171;-22]";-171;-22;"[0;1]";0;1;2;0;Event study ;Market model;1;1;benchmark index;0;na;0;0;919;46;1;1;1;"CAAR[0;+1]";0;1;0;0;1;1;-0.0271;-0.01355;1;0.0001;1;0;1;1;0;0;-4.49;0;-4.49;0;0.006035635;0.003017817;0;0;1;0;0;0;0;1;0;1;0;1;0;0;1;0
5;Bohn, Choi (1996);Bohn;J;Choi;S;0;0;0;0;2;0;Fraud in the New-Issues Markets: Empirical Evidence on Securities Class Actions;1996;1;1;University of Pennsylvania Law Review;law;0;0;1;0;0;1;1.78;1.83;0;216;80;1;US;a;1;0;0;1;0;0;1.500219;1;13870;9.537483513;2.998513873;8.120618526;9.51618285;75.39973997;55.41805006;5377;8.589885877;228.3455;3.159026044;69.18292228;1108.4209;0.242032797;4579.631;8.429373706;44.1;25.1;34.7;1975;1986;1980.5;12;Filing of securities-fraud suits (class action suit), following an IPO ;0;0;0;1;0;1;0;0;0;1;1;0;0;0;1;0;0;0;0;0;na;0;0;"[-1;+1]";-1;1;3;Daily stock returns;Event study;Market model;1;0;Value-weighted protfolio of all market stocks;1;Computer and office equipments;1;0;3519;103;0;1;2;"CAAR[-1;+1]";-1;1;0;1;1;1;-0.0333;-0.0111;1;0.01;1;1;0;0;0;-2.605;-2.605;0;0;0;0.012783109;0.004261036;0;0;0;0;0;0;0;0;1;1;0;2;0;0;2;0
5;Bohn, Choi (1996);Bohn;J;Choi;S;0;0;0;0;2;0;Fraud in the New-Issues Markets: Empirical Evidence on Securities Class Actions;1996;1;1;University of Pennsylvania Law Review;law;0;0;1;0;0;1;1.78;1.83;0;216;80;1;US;a;1;0;0;1;0;0;1.500219;1;13870;9.537483513;2.998513873;8.120618526;9.51618285;75.39973997;55.41805006;5377;8.589885877;228.3455;3.159026044;69.18292228;1108.4209;0.242032797;4579.631;8.429373706;44.1;25.1;34.7;1975;1986;1980.5;12;0;0;0;0;1;0;1;0;0;0;1;1;0;0;0;1;0;0;0;0;0;na;0;0;"[-1;+1]";-1;1;3;Daily stock returns;Event study;Market model;1;0;Value-weighted protfolio of all market stocks;1;Computer and office equipments;1;0;3519;103;0;1;2;AAR[0];0;0;0;0;1;0;-0.013;-0.013;1;0.1;1;1;0;0;0;-1.76;-1.76;0;0;0;0.007386364;0.007386364;0;0;0;0;0;0;1;0;0;0;0;2;0;0;2;0
6;Pritchard, Ferris (2001);Pritchard;AC;Ferris;SP;0;0;0;0;2;1;Stock Price Reactions to Securities Fraud Class Actions Under the Private Securities Litigation Reform Act;2001;10;0;Michigan Law and Economics Research Paper;law;0;0;1;0;1;0;0;0;0;71;39;1;US;a;1;0;0;1;0;0;1.554124;1;31270;10.35041445;3.448689529;8.430997166;9.70375811;76.22612049;125.5619308;7905;8.97525075;272.657;3.367036155;86.02992644;9265.5461;1.080208367;8577.554463;9.056904124;35;25.1;29.4;1995;1999;1997;5;Revelation of allegated securities fraud giving rise to the lawsuit;0;0;0;1;0;1;0;0;0;1;1;0;0;0;0;1;0;0;0;1;"[-260;-11]";-260;-11;"[-1;+1]";-1;1;3;Daily stock returns;Event study ;Market model;1;1;CRSP index;1;Business and Miscellaneous Services and Plastics, Metals, Machinery and Electronics;1;0;na;89;1;0;3;"CAAR[-1;+1]";-1;1;0;1;1;1;-0.2499;-0.0833;1;0.01;1;0;1;0;0;0;-46.8168;0;-46.8168;0;0.005337827;0.001779276;0;0;1;0;0;0;0;0;1;1;0;3;0;0;3;0
